date,timeStamp,rawPd1,rawPd2,rosa1530pd,ntc_1530,ntc_1310,opCode,cur_1530,cur_1310,metadata,app_session_counter,device_config,intpl_ntc_1530,intpl_ntc_1310,intpl_rawPd1,intpl_rawPd2,timestamp
2025-03-26 06:36:56.649672508+01:00,2025-03-26 05:36:56.649672508,-0.3680527648988682,-0.1167488237319974,-0.0512194694542252,,,,0.0939,0.0678,,,,46.59157,24.3347,-0.368,-0.117,2025-03-26 05:36:56.649672508
2025-03-26 06:36:56.669971943+01:00,2025-03-26 05:36:56.669971943,-0.3718173947116607,-0.1171064516432823,-0.048469906862963,,,,0.0939,0.0678,,,,46.63441,24.3423,-0.372,-0.117,2025-03-26 05:36:56.669971943
2025-03-26 06:36:56.690290928+01:00,2025-03-26 05:36:56.690290928,-0.3743124454393918,-0.1181000611901356,-0.0495421945502989,,,,0.0939,0.0678,,,,46.67728,24.3499,-0.374,-0.118,2025-03-26 05:36:56.690290928
2025-03-26 06:36:56.710570574+01:00,2025-03-26 05:36:56.710570574,-0.376210257555277,-0.1173085114131583,-0.0484466610487295,,,,0.0939,0.0678,,,,46.72007,24.35749,-0.376,-0.117,2025-03-26 05:36:56.710570574
2025-03-26 06:36:56.737907887+01:00,2025-03-26 05:36:56.737907887,-0.3778493854819996,-0.1361024541976993,-0.046925550332731,,,,0.0939,0.0678,,,,46.77776,24.36771,-0.378,-0.136,2025-03-26 05:36:56.737907887
2025-03-26 06:36:56.762999058+01:00,2025-03-26 05:36:56.762999058,,,,46.8307,,,0.0939,0.0678,,,,46.8307,24.3771,-0.379,-0.117,2025-03-26 05:36:56.762999058
2025-03-26 06:36:56.774777651+01:00,2025-03-26 05:36:56.774777651,-0.3800714469041165,-0.1081770787450169,-0.048382884071217,,,,0.0939,0.0678,,,,46.8307,24.38151,-0.38,-0.108,2025-03-26 05:36:56.774777651
2025-03-26 06:36:56.792129040+01:00,2025-03-26 05:36:56.792129040,,,,46.8307,24.388,,0.0899,0.0667,,,,46.8307,24.388,-0.381,-0.12,2025-03-26 05:36:56.792129040
2025-03-26 06:36:56.804326296+01:00,2025-03-26 05:36:56.804326296,-0.3809619404032159,-0.1275521668853958,-0.0472253617316915,,,,0.0899,0.0667,,,,46.8511,24.39303,-0.381,-0.128,2025-03-26 05:36:56.804326296
2025-03-26 06:36:56.824888229+01:00,2025-03-26 05:36:56.824888229,-0.3782630417660524,-0.1205712700571143,-0.0467926319590368,,,,0.0899,0.0667,,,,46.88548,24.40152,-0.378,-0.121,2025-03-26 05:36:56.824888229
2025-03-26 06:36:56.845487833+01:00,2025-03-26 05:36:56.845487833,-0.372934981934426,-0.1166331907073486,-0.0467252787024115,,,,0.0899,0.0667,,,,46.91992,24.41001,-0.373,-0.117,2025-03-26 05:36:56.845487833
2025-03-26 06:36:56.874525547+01:00,2025-03-26 05:36:56.874525547,-0.3646201329970518,-0.1167142530339065,-0.0476950463885124,,,,0.0899,0.0667,,,,46.96848,24.42199,-0.365,-0.117,2025-03-26 05:36:56.874525547
2025-03-26 06:36:56.876033306+01:00,2025-03-26 05:36:56.876033306,,,,46.971,,,0.0899,0.0667,,,,46.971,24.42262,-0.363,-0.119,2025-03-26 05:36:56.876033306
2025-03-26 06:36:56.895196915+01:00,2025-03-26 05:36:56.895196915,-0.349159878392205,-0.142060535199706,-0.0475680884800062,,,,0.0899,0.0667,,,,46.99383,24.43052,-0.349,-0.142,2025-03-26 05:36:56.895196915
2025-03-26 06:36:56.915675402+01:00,2025-03-26 05:36:56.915675402,-0.3388655589658688,-0.1358944339626352,-0.0485640822129347,,,,0.0899,0.0667,,,,47.01822,24.43897,-0.339,-0.136,2025-03-26 05:36:56.915675402
2025-03-26 06:36:56.935977697+01:00,2025-03-26 05:36:56.935977697,-0.3264081867227777,-0.1164066930302015,-0.0470173414966275,,,,0.0899,0.0667,,,,47.0424,24.44735,-0.326,-0.116,2025-03-26 05:36:56.935977697
2025-03-26 06:36:56.956575632+01:00,2025-03-26 05:36:56.956575632,-0.3204828882793055,-0.1164156337279836,-0.0496375619933083,,,,0.0899,0.0667,,,,47.06694,24.45585,-0.32,-0.116,2025-03-26 05:36:56.956575632
2025-03-26 06:36:56.977624416+01:00,2025-03-26 05:36:56.977624416,-0.3210819150307077,-0.1414960791463946,-0.0505566657253105,,,,0.0899,0.0667,,,,47.09201,24.46453,-0.321,-0.141,2025-03-26 05:36:56.977624416
2025-03-26 06:36:57.003279686+01:00,2025-03-26 05:36:57.003279686,-0.3187001131415502,-0.108798159217615,-0.0497919380416796,,,,0.0899,0.0667,,,,47.12257,24.47511,-0.319,-0.109,2025-03-26 05:36:57.003279686
2025-03-26 06:36:57.023888588+01:00,2025-03-26 05:36:57.023888588,-0.3184634826735834,-0.116731538382952,-0.0495821296670591,,,,0.0899,0.0667,,,,47.14712,24.48362,-0.318,-0.117,2025-03-26 05:36:57.023888588
2025-03-26 06:36:57.053202629+01:00,2025-03-26 05:36:57.053202629,-0.3178984305737531,-0.1172471186217211,-0.0519889655100066,,,,0.0899,0.0667,,,,47.18204,24.49571,-0.318,-0.117,2025-03-26 05:36:57.053202629
2025-03-26 06:36:57.090739250+01:00,2025-03-26 05:36:57.090739250,-0.3177291533624116,-0.1089239250330835,-0.0522399010944248,,,,0.0899,0.0667,,,,47.22675,24.5112,-0.318,-0.109,2025-03-26 05:36:57.090739250
2025-03-26 06:36:57.111349821+01:00,2025-03-26 05:36:57.111349821,,,,47.2513,24.5197,,0.0868,0.0657,,,,47.2513,24.5197,-0.32,-0.111,2025-03-26 05:36:57.111349821
2025-03-26 06:36:57.116504431+01:00,2025-03-26 05:36:57.116504431,-0.3200227403667856,-0.1114845408778835,-0.0508886636362866,,,,0.0868,0.0657,,,,47.25796,24.52199,-0.32,-0.111,2025-03-26 05:36:57.116504431
2025-03-26 06:36:57.136728287+01:00,2025-03-26 05:36:57.136728287,-0.3253794104313147,-0.1173168560644216,-0.0518894257413656,,,,0.0868,0.0657,,,,47.28411,24.53097,-0.325,-0.117,2025-03-26 05:36:57.136728287
2025-03-26 06:36:57.156927824+01:00,2025-03-26 05:36:57.156927824,-0.330393949794048,-0.1181155583996246,-0.0518411459733421,,,,0.0868,0.0657,,,,47.31023,24.53994,-0.33,-0.118,2025-03-26 05:36:57.156927824
2025-03-26 06:36:57.177141905+01:00,2025-03-26 05:36:57.177141905,-0.3350204628730372,-0.1182705304945147,-0.0515562357373518,,,,0.0868,0.0657,,,,47.33636,24.54892,-0.335,-0.118,2025-03-26 05:36:57.177141905
